old_url,match_type,matched_fern_file,matched_slug,new_slug,confidence,match_method,notes
/compatibility-api/client-sdks/methods/recording-transcriptions/list,slug_changed,compatibility-api\pages\sdks\methods\recording-transcriptions\list.mdx,sdks/methods/recording-transcriptions/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/recording-transcriptions/retrieve,slug_changed,compatibility-api\pages\sdks\methods\recording-transcriptions\retrieve.mdx,sdks/methods/recording-transcriptions/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/recordings,slug_changed,compatibility-api\pages\sdks\methods\recordings\index.mdx,sdks/methods/recordings,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/recordings/create,slug_changed,compatibility-api\pages\sdks\methods\recordings\create.mdx,sdks/methods/recordings/create,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/recordings/delete,slug_changed,compatibility-api\pages\sdks\methods\recordings\delete.mdx,sdks/methods/recordings/delete,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/recordings/list,slug_changed,compatibility-api\pages\sdks\methods\recordings\list.mdx,sdks/methods/recordings/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/recordings/retrieve,slug_changed,compatibility-api\pages\sdks\methods\recordings\retrieve.mdx,sdks/methods/recordings/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/recordings/update,slug_changed,compatibility-api\pages\sdks\methods\recordings\update.mdx,sdks/methods/recordings/update,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/cxml,uncertain,compatibility-api/pages/cxml/core/cxml-spec.mdx,cxml,/reference/cxml,0.458,body=0.447 fname=0.500,
/compatibility-api/cxml/fax,uncertain,compatibility-api/pages/cxml/fax/overview.mdx,cxml/fax,/reference/cxml/fax,0.489,body=0.611 fname=0.000,
/compatibility-api/cxml/fax/receive,uncertain,compatibility-api/pages/cxml/fax/receive.mdx,cxml/fax/receive,/reference/cxml/fax/receive,0.700,body=0.625 fname=1.000,
/compatibility-api/cxml/fax/reject,slug_changed,compatibility-api/pages/cxml/fax/reject.mdx,cxml/fax/reject,/reference/cxml/fax/reject,0.904,body=0.880 fname=1.000,
/compatibility-api/cxml/messaging,uncertain,compatibility-api/pages/cxml/fax/overview.mdx,cxml/fax,/reference/cxml/fax,0.311,body=0.330 fname=0.235,
/compatibility-api/cxml/messaging/message,uncertain,compatibility-api/pages/cxml/messaging/message.mdx,cxml/messaging/message,/reference/cxml/messaging/message,0.533,body=0.416 fname=1.000,
/compatibility-api/cxml/messaging/redirect,slug_changed,compatibility-api/pages/cxml/messaging/redirect.mdx,cxml/messaging/redirect,/reference/cxml/messaging/redirect,0.858,body=0.823 fname=1.000,
/compatibility-api/cxml/stream-openai-realtime,likely_deleted,,,,0,,No Fern page above similarity threshold
/compatibility-api/cxml/voice,uncertain,compatibility-api/pages/cxml/voice/overview.mdx,cxml/voice,/reference/cxml/voice,0.427,body=0.418 fname=0.462,
