doc_id,title,slug,file_path,product
,audioMute,/reference/video/room-session-screenshare/audio-mute,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\audio-mute.mdx,browser-sdk
,audioUnmute,/reference/video/room-session-screenshare/audio-unmute,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\audio-unmute.mdx,browser-sdk
,join,/reference/video/room-session-screenshare/join,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\join.mdx,browser-sdk
,leave,/reference/video/room-session-screenshare/leave,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\leave.mdx,browser-sdk
,setInputSensitivity,/reference/video/room-session-screenshare/set-input-sensitivity,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\set-input-sensitivity.mdx,browser-sdk
,setInputVolume,/reference/video/room-session-screenshare/set-input-volume,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\set-input-volume.mdx,browser-sdk
,setMicrophoneVolume,/reference/video/room-session-screenshare/set-microphone-volume,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\set-microphone-volume.mdx,browser-sdk
,updateCamera,/reference/video/room-session-screenshare/update-camera,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\update-camera.mdx,browser-sdk
,updateMicrophone,/reference/video/room-session-screenshare/update-microphone,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\update-microphone.mdx,browser-sdk
,videoMute,/reference/video/room-session-screenshare/video-mute,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\video-mute.mdx,browser-sdk
,videoUnmute,/reference/video/room-session-screenshare/video-unmute,browser-sdk\pages\latest\reference\video\RoomSessionScreenShare\methods\video-unmute.mdx,browser-sdk
,checkCameraPermissions,/reference/webrtc/check-camera-permissions,browser-sdk\pages\latest\reference\webrtc\functions\check-camera-permissions.mdx,browser-sdk
,checkMicrophonePermissions,/reference/webrtc/check-microphone-permissions,browser-sdk\pages\latest\reference\webrtc\functions\check-microphone-permissions.mdx,browser-sdk
,checkPermissions,/reference/webrtc/check-permissions,browser-sdk\pages\latest\reference\webrtc\functions\check-permissions.mdx,browser-sdk
,checkSpeakerPermissions,/reference/webrtc/check-speaker-permissions,browser-sdk\pages\latest\reference\webrtc\functions\check-speaker-permissions.mdx,browser-sdk
,createCameraDeviceWatcher,/reference/webrtc/create-camera-device-watcher,browser-sdk\pages\latest\reference\webrtc\functions\create-camera-device-watcher.mdx,browser-sdk
,createDeviceWatcher,/reference/webrtc/create-device-watcher,browser-sdk\pages\latest\reference\webrtc\functions\create-device-watcher.mdx,browser-sdk
,createMicrophoneAnalyzer,/reference/webrtc/create-microphone-analyzer,browser-sdk\pages\latest\reference\webrtc\functions\create-microphone-analyzer.mdx,browser-sdk
,createMicrophoneDeviceWatcher,/reference/webrtc/create-microphone-device-watcher,browser-sdk\pages\latest\reference\webrtc\functions\create-microphone-device-watcher.mdx,browser-sdk
,createSpeakerDeviceWatcher,/reference/webrtc/create-speaker-device-watcher,browser-sdk\pages\latest\reference\webrtc\functions\create-speaker-device-watcher.mdx,browser-sdk
,enumerateDevices,/reference/webrtc/enumerate-devices,browser-sdk\pages\latest\reference\webrtc\functions\enumerate-devices.mdx,browser-sdk
,getCameraDevicesWithPermissions,/reference/webrtc/get-camera-devices-with-permissions,browser-sdk\pages\latest\reference\webrtc\functions\get-camera-devices-with-permissions.mdx,browser-sdk
,getCameraDevices,/reference/webrtc/get-camera-devices,browser-sdk\pages\latest\reference\webrtc\functions\get-camera-devices.mdx,browser-sdk
,getDevicesWithPermissions,/reference/webrtc/get-devices-with-permissions,browser-sdk\pages\latest\reference\webrtc\functions\get-devices-with-permissions.mdx,browser-sdk
,getDevices,/reference/webrtc/get-devices,browser-sdk\pages\latest\reference\webrtc\functions\get-devices.mdx,browser-sdk
