old slug (from Docusaurus sitemap),currrent slug,NOTE
/rest/signalwire-rest/endpoints/fabric/swml-scripts-create,/apis/fabric/swml-scripts/create-swml-script,
/rest/signalwire-rest/endpoints/fabric/swml-scripts-delete,/apis/fabric/swml-scripts/delete-swml-script,
/rest/signalwire-rest/endpoints/fabric/swml-scripts-list,/apis/fabric/swml-scripts/list-swml-scripts,
/rest/signalwire-rest/endpoints/fabric/swml-scripts-read,/apis/fabric/swml-scripts/get-swml-script,
/rest/signalwire-rest/endpoints/fabric/swml-scripts-update,/apis/fabric/swml-scripts/update-swml-script,
/rest/signalwire-rest/endpoints/fabric/swml-webhook,,
/rest/signalwire-rest/endpoints/fabric/swml-webhook-addresses-list,/apis/fabric/swml-webhook/list-swml-webhook-addresses,
/rest/signalwire-rest/endpoints/fabric/swml-webhooks-create,/apis/fabric/swml-webhook/create-swml-webhook,
/rest/signalwire-rest/endpoints/fabric/swml-webhooks-delete,/apis/fabric/swml-webhook/delete-swml-webhook,
/rest/signalwire-rest/endpoints/fabric/swml-webhooks-list,/apis/fabric/swml-webhook/list-swml-webhooks,
/rest/signalwire-rest/endpoints/fabric/swml-webhooks-read,/apis/fabric/swml-webhook/get-swml-webhook,
/rest/signalwire-rest/endpoints/fabric/swml-webhooks-update,/apis/fabric/swml-webhook/update-swml-webhook,
/rest/signalwire-rest/endpoints/fax,,
/rest/signalwire-rest/endpoints/fax/fax-api,,
/rest/signalwire-rest/endpoints/fax/logs,,
/rest/signalwire-rest/endpoints/fax/logs-list,/apis/fax/logs/list-fax-logs,
/rest/signalwire-rest/endpoints/fax/logs-read,/apis/fax/logs/get-fax-log,
/rest/signalwire-rest/endpoints/logs,,
/rest/signalwire-rest/endpoints/logs/conferences,,
/rest/signalwire-rest/endpoints/logs/conferences-list,/apis/logs/conferences/list-conferences,
/rest/signalwire-rest/endpoints/logs/logs-api,,
/rest/signalwire-rest/endpoints/messaging,,
/rest/signalwire-rest/endpoints/messaging/logs,,
/rest/signalwire-rest/endpoints/messaging/logs-list,/apis/message/logs/list-message-logs,
/rest/signalwire-rest/endpoints/messaging/logs-retrieve,/apis/message/logs/get-message-log,
/rest/signalwire-rest/endpoints/messaging/message-api,,
/rest/signalwire-rest/endpoints/project,,
/rest/signalwire-rest/endpoints/project/create-token,/apis/project/tokens/create-token,
/rest/signalwire-rest/endpoints/project/delete-token,/apis/project/tokens/delete-token,
/rest/signalwire-rest/endpoints/project/project-api,,
/rest/signalwire-rest/endpoints/project/tokens,,
/rest/signalwire-rest/endpoints/project/update-token,/apis/project/tokens/update-token,
/rest/signalwire-rest/endpoints/pubsub,,
/rest/signalwire-rest/endpoints/pubsub/create-token,/apis/pubsub/tokens/create-token,
/rest/signalwire-rest/endpoints/pubsub/pubsub-api,,
/rest/signalwire-rest/endpoints/pubsub/tokens,,
/rest/signalwire-rest/endpoints/space,,
/rest/signalwire-rest/endpoints/space/addresses,,
/rest/signalwire-rest/endpoints/space/campaign-registry-beta,,
/rest/signalwire-rest/endpoints/space/create-a-queue,/apis/relay-rest/queues/create-queue,
/rest/signalwire-rest/endpoints/space/create-address,/apis/relay-rest/addresses/create-address,
